time,temp
2020-05-26 13:15:10.767125,28.13
2020-05-26 13:15:10.967276,32.41
2020-05-26 13:15:11.167327,29.96
2020-05-26 13:15:11.367376,32.12
2020-05-26 13:15:11.567427,30.03
2020-05-26 13:15:11.767478,33.42
2020-05-26 13:15:11.967527,33.37
2020-05-26 13:15:12.167577,33.08
2020-05-26 13:15:12.367631,35.3
2020-05-26 13:15:12.567678,32.02
2020-05-26 13:15:12.767730,33.86
2020-05-26 13:15:12.967782,30.19
2020-05-26 13:15:13.167829,33.74
2020-05-26 13:15:13.367881,32.55
2020-05-26 13:15:13.567932,34.22
2020-05-26 13:15:13.767980,32.69
2020-05-26 13:15:13.968033,32.52
2020-05-26 13:15:14.168083,30.64
2020-05-26 13:15:14.368132,32.59
2020-05-26 13:15:14.568184,35.32
2020-05-26 13:15:14.768235,33.9
2020-05-26 13:15:14.968284,32.73
2020-05-26 13:15:15.168335,29.01
2020-05-26 13:15:15.368386,29.35
2020-05-26 13:15:15.569434,34.16
2020-05-26 13:15:15.769485,28.26
2020-05-26 13:15:15.969537,30.56
2020-05-26 13:15:16.170532,31.98
2020-05-26 13:15:16.370636,29.95
2020-05-26 13:15:16.570689,35.23
2020-05-26 13:15:16.770739,31.54
2020-05-26 13:15:16.970789,31.84
2020-05-26 13:15:17.170840,35.27
2020-05-26 13:15:17.370893,35.59
2020-05-26 13:15:17.570941,29.08
2020-05-26 13:15:17.770992,34.46
2020-05-26 13:15:17.971042,28.47
2020-05-26 13:15:18.171091,32.87
2020-05-26 13:15:18.371143,34.74
2020-05-26 13:15:18.571195,31.3
2020-05-26 13:15:18.771244,28.63
2020-05-26 13:15:18.971295,28.9
2020-05-26 13:15:19.171345,32.1
2020-05-26 13:15:19.371394,32.1
2020-05-26 13:15:19.571446,33.67
2020-05-26 13:15:19.773388,31.72
2020-05-26 13:15:19.973545,32.92
2020-05-26 13:15:20.173597,32.2
2020-05-26 13:15:20.373648,31.92
2020-05-26 13:15:20.574697,35.57
2020-05-26 13:15:20.774749,31.82
